Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,17.799999,18.1,17.32,17.625,15.698119,18034600
2007-01-04,17.684999,17.75,17.395,17.645,15.715938,14656000
2007-01-05,17.559999,17.645,17.485001,17.57,15.649134,13131400
2007-01-08,17.455,17.629999,17.450001,17.504999,15.591242,11614400
2007-01-09,17.5,17.695,17.35,17.43,15.524442,14305000
2007-01-10,17.35,17.389999,17.084999,17.375,15.47545,18658400
2007-01-11,17.25,18.02,17.25,17.905001,15.94751,17787400
2007-01-12,17.92,18.17,17.875,17.950001,15.987589,12618400
2007-01-16,18.0,18.184999,17.855,18.110001,16.130096,9409800
2007-01-17,18.129999,18.26,18.094999,18.145,16.161272,12711200
2007-01-18,18.264999,18.305,17.780001,17.885,15.929699,12058200
2007-01-19,17.764999,17.969999,17.700001,17.77,15.827271,13125800
2007-01-22,17.75,17.799999,17.5,17.645,15.715938,11134600
2007-01-23,17.65,17.834999,17.41,17.475,15.564518,12573000
2007-01-24,17.6,17.639999,17.389999,17.395,15.493261,16345800
2007-01-25,17.344999,17.370001,16.940001,16.985001,15.128095,20933800
2007-01-26,17.084999,17.195,16.745001,16.940001,15.088009,21918400
2007-01-29,17.035,17.395,16.83,17.280001,15.390841,22260200
2007-01-30,17.594999,17.68,17.26,17.280001,15.390841,28372200
2007-01-31,17.315001,17.58,17.184999,17.469999,15.560065,21878800
2007-02-01,17.565001,17.709999,17.190001,17.205,15.324036,27823800
2007-02-02,17.290001,17.290001,17.01,17.135,15.261693,15402400
2007-02-05,17.105,17.145,16.940001,17.01,15.150356,15551200
2007-02-06,17.025,17.045,16.635,16.834999,14.994488,23613800
2007-02-07,16.84,16.995001,16.639999,16.834999,14.994488,16508600
2007-02-08,16.834999,16.885,16.575001,16.709999,14.883152,24264000
2007-02-09,16.745001,16.805,16.450001,16.48,14.678302,15744600
2007-02-12,16.450001,16.48,16.190001,16.334999,14.54915,16309600
2007-02-13,16.389999,16.49,16.235001,16.33,14.544698,16651000
2007-02-14,16.375,16.725,16.360001,16.67,14.847527,19788400
